gene	signature	type	a	b	c	d	odds_ratio	p	p.adj	significant
SLX4	Undetermined	loss	0	1	71	138	0.0	0.999999999999961	1.0	False
BRCA1	Undetermined	gain	0	1	2	207	0.0	0.9999999999999462	1.0	False
BRCA1	Undetermined	loss	0	1	91	118	0.0	0.9999999999999657	1.0	False
FANCE	Undetermined	gain	0	1	45	164	0.0	0.9999999999999368	1.0	False
FANCE	Undetermined	loss	0	1	25	184	0.0	0.9999999999999403	1.0	False
CCNE1	Undetermined	gain	0	1	53	156	0.0	1.0	1.0	False
CCNE1	Undetermined	loss	0	1	9	200	0.0	0.9999999999999881	1.0	False
FANCD2	Undetermined	gain	0	1	7	202	0.0	0.9999999999999425	1.0	False
FANCD2	Undetermined	loss	0	1	30	179	0.0	1.0	1.0	False
FANCM	Undetermined	gain	0	1	11	198	0.0	0.9999999999999692	1.0	False
FANCM	Undetermined	loss	0	1	36	173	0.0	0.9999999999999625	1.0	False
FANCI	Undetermined	gain	0	1	29	180	0.0	0.9999999999999418	1.0	False
FANCI	Undetermined	loss	0	1	46	163	0.0	0.9999999999999524	1.0	False
KRAS	TD	gain	3	15	54	138	0.5111111111111111	0.40973004775229144	1.0	False
KRAS	TD	loss	2	16	8	184	2.875	0.20701567502176038	0.8021857407093215	False
FANCA	TD	gain	1	17	3	189	3.7058823529411766	0.30313165095769967	0.9663422587846582	False
FANCA	TD	loss	14	4	91	101	3.8846153846153846	0.024132814030653597	0.21374778141436043	False
BRIP1	TD	gain	1	17	20	172	0.5058823529411764	0.9999999999999392	1.0	False
BRIP1	TD	loss	7	11	56	136	1.5454545454545454	0.4238789343957971	1.0	False
MDM2	TD	gain	3	15	20	172	1.72	0.4255348900190738	1.0	False
MDM2	TD	loss	2	16	17	175	1.286764705882353	0.6698667870047701	1.0	False
FANCC	TD	gain	1	17	7	185	1.5546218487394958	0.517955001156331	1.0	False
FANCC	TD	loss	5	13	54	138	0.9829059829059829	1.0	1.0	False
FANCG	TD	gain	2	16	19	173	1.138157894736842	0.6973342380397419	1.0	False
FANCG	TD	loss	2	16	39	153	0.49038461538461536	0.5356957314893792	1.0	False
RFWD3	TD	gain	2	16	3	189	7.875	0.05956601439927516	0.4103436547505622	False
RFWD3	TD	loss	13	5	104	88	2.2	0.21395261013701986	0.8067420668985176	False
TP53	TD	gain	1	17	1	191	11.235294117647058	0.1644565960355313	0.7098545047700576	False
TP53	TD	loss	9	9	112	80	0.7142857142857143	0.6191404013564134	1.0	False
PALB2	TD	gain	0	18	11	181	0.0	0.6042287323517197	1.0	False
PALB2	TD	loss	7	11	27	165	3.888888888888889	0.013392751538905422	0.14827689203788147	False
FANCL	TD	gain	1	17	24	168	0.4117647058823529	0.702618839787599	1.0	False
FANCL	TD	loss	2	16	2	190	11.875	0.03765799417973169	0.2880371660859393	False
RAD51	TD	gain	1	17	3	189	3.7058823529411766	0.30313165095769967	0.9663422587846582	False
RAD51	TD	loss	8	10	75	117	1.248	0.8016517817068501	1.0	False
UBE2T	TD	gain	4	14	41	151	1.0522648083623694	1.0	1.0	False
UBE2T	TD	loss	1	17	11	181	0.9679144385026738	0.9999999999998941	1.0	False
PIK3CA	TD	gain	11	7	96	96	1.5714285714285714	0.4621544144746772	1.0	False
PIK3CA	TD	loss	0	18	7	185	0.0	0.9999999999999946	1.0	False
RB1	TD	gain	2	16	4	188	5.875	0.08481367184740876	0.5056199667826291	False
RB1	TD	loss	6	12	101	91	0.4504950495049505	0.14247589330837007	0.6769393618399266	False
MYC	TD	gain	13	5	116	76	1.703448275862069	0.4491102761849247	1.0	False
MYC	TD	loss	1	17	2	190	5.588235294117647	0.2367632367632141	0.853448876704609	False
FANCF	TD	gain	0	18	4	188	0.0	0.9999999999999307	1.0	False
FANCF	TD	loss	7	11	50	142	1.8072727272727274	0.27035155295478547	0.9021881697028028	False
FANCB	TD	gain	0	18	7	185	0.0	0.9999999999999946	1.0	False
FANCB	TD	loss	10	8	98	94	1.1989795918367347	0.8075894776775788	1.0	False
MAP3K1	TD	gain	0	18	1	191	0.0	0.9999999999999254	1.0	False
MAP3K1	TD	loss	8	10	84	108	1.0285714285714285	1.0	1.0	False
MAD2L2	TD	gain	3	15	14	178	2.5428571428571427	0.1671592866071426	0.7098545047700576	False
MAD2L2	TD	loss	0	18	41	151	0.0	0.02705839691118133	0.22510178645638862	False
BRCA2	TD	gain	1	17	5	187	2.2	0.4198649377473258	1.0	False
BRCA2	TD	loss	8	10	86	106	0.986046511627907	1.0	1.0	False
ERCC4	TD	gain	0	18	10	182	0.0	0.999999999999927	1.0	False
ERCC4	TD	loss	5	13	29	163	2.1618037135278514	0.18027755798490197	0.7340951039176677	False
RAD51C	TD	gain	2	16	18	174	1.2083333333333333	0.6834214435868428	1.0	False
