gene	signature	type	a	b	c	d	odds_ratio	p	p.adj	significant
MAD2L2	HRD-Del	loss	1	5	6	28	0.9333333333333333	1.0	1.0	False
BRCA2	HRD-Del	gain	0	6	2	32	0.0	1.0	1.0	False
BRCA2	HRD-Del	loss	2	4	11	23	1.0454545454545454	1.0	1.0	False
ERCC4	HRD-Del	gain	0	6	1	33	0.0	1.0	1.0	False
ERCC4	HRD-Del	loss	2	4	4	30	3.75	0.2146582672898504	1.0	False
RAD51C	HRD-Del	gain	0	6	6	28	0.0	0.5650415018836181	1.0	False
RAD51C	HRD-Del	loss	2	4	11	23	1.0454545454545454	1.0	1.0	False
GAPDH	HRD-Del	gain	1	5	11	23	0.41818181818181815	0.647937411095316	1.0	False
GAPDH	HRD-Del	loss	1	5	2	32	3.2	0.39433198380567386	1.0	False
XRCC2	HRD-Del	gain	1	5	8	26	0.65	1.0	1.0	False
XRCC2	HRD-Del	loss	1	5	2	32	3.2	0.39433198380567386	1.0	False
SLX4	HRD-Del	gain	0	6	0	34	inf	1.0	1.0	False
SLX4	HRD-Del	loss	2	4	4	30	3.75	0.2146582672898504	1.0	False
BRCA1	HRD-Del	gain	0	6	0	34	inf	1.0	1.0	False
BRCA1	HRD-Del	loss	2	4	11	23	1.0454545454545454	1.0	1.0	False
FANCE	HRD-Del	gain	1	5	9	25	0.5555555555555556	1.0	1.0	False
FANCE	HRD-Del	loss	0	6	6	28	0.0	0.5650415018836181	1.0	False
CCNE1	HRD-Del	gain	2	4	11	23	1.0454545454545454	1.0	1.0	False
CCNE1	HRD-Del	loss	2	4	3	31	5.166666666666667	0.15424736477368273	1.0	False
FANCD2	HRD-Del	gain	0	6	1	33	0.0	1.0	1.0	False
FANCD2	HRD-Del	loss	0	6	3	31	0.0	1.0	1.0	False
FANCM	HRD-Del	gain	1	5	2	32	3.2	0.39433198380567386	1.0	False
FANCM	HRD-Del	loss	2	4	12	22	0.9166666666666666	1.0	1.0	False
FANCI	HRD-Del	gain	1	5	3	31	2.066666666666667	0.4925484188642139	1.0	False
FANCI	HRD-Del	loss	1	5	5	29	1.16	1.0	1.0	False
KRAS	Undetermined	gain	0	1	8	31	0.0	1.0	1.0	False
KRAS	Undetermined	loss	0	1	1	38	0.0	1.0	1.0	False
FANCA	Undetermined	gain	0	1	1	38	0.0	1.0	1.0	False
FANCA	Undetermined	loss	0	1	23	16	0.0	0.42500000000000215	1.0	False
BRIP1	Undetermined	gain	0	1	4	35	0.0	1.0	1.0	False
BRIP1	Undetermined	loss	0	1	15	24	0.0	1.0	1.0	False
MDM2	Undetermined	gain	0	1	7	32	0.0	1.0	1.0	False
MDM2	Undetermined	loss	0	1	4	35	0.0	1.0	1.0	False
FANCC	Undetermined	gain	1	0	1	38	inf	0.050000000000000294	1.0	False
FANCC	Undetermined	loss	0	1	9	30	0.0	1.0	1.0	False
FANCG	Undetermined	gain	0	1	4	35	0.0	1.0	1.0	False
FANCG	Undetermined	loss	0	1	11	28	0.0	1.0	1.0	False
RFWD3	Undetermined	gain	0	1	0	39	inf	1.0	1.0	False
RFWD3	Undetermined	loss	0	1	13	26	0.0	1.0	1.0	False
TP53	Undetermined	gain	0	1	1	38	0.0	1.0	1.0	False
TP53	Undetermined	loss	0	1	22	17	0.0	0.45000000000000134	1.0	False
PALB2	Undetermined	gain	0	1	3	36	0.0	1.0	1.0	False
