gene	signature	type	a	b	c	d	odds_ratio	p	p.adj	significant
PIK3CA	TD	loss	0	18	6	146	0.0	1.0	1.0	False
RB1	TD	gain	2	16	3	149	6.208333333333333	0.08755740106014627	0.4523799054774224	False
RB1	TD	loss	6	12	82	70	0.4268292682926829	0.1343361816121635	0.6074628396792205	False
MYC	TD	gain	13	5	94	58	1.6042553191489362	0.4494195982660456	0.9776847400875378	False
MYC	TD	loss	1	17	1	151	8.882352941176471	0.2011138183083671	0.6534476131764329	False
FANCF	TD	gain	0	18	3	149	0.0	0.9999999999999731	1.0	False
FANCF	TD	loss	7	11	42	110	1.6666666666666667	0.40865582697326913	0.9048807597265245	False
FANCB	TD	gain	0	18	5	147	0.0	0.9999999999999734	1.0	False
FANCB	TD	loss	10	8	79	73	1.1550632911392404	0.808164347124208	1.0	False
MAP3K1	TD	gain	0	18	1	151	0.0	0.9999999999999818	1.0	False
MAP3K1	TD	loss	8	10	67	85	1.0149253731343284	0.9999999999999426	1.0	False
MAD2L2	TD	gain	3	15	10	142	2.84	0.14468713287579915	0.6232188201786887	False
MAD2L2	TD	loss	0	18	34	118	0.0	0.025483071661947045	0.20386457329557636	False
BRCA2	TD	gain	1	17	3	149	2.9215686274509802	0.363590456201579	0.8836422291461972	False
BRCA2	TD	loss	8	10	73	79	0.8657534246575342	0.8081643471242079	1.0	False
ERCC4	TD	gain	0	18	9	143	0.0	0.5996746359175429	1.0	False
ERCC4	TD	loss	5	13	23	129	2.157190635451505	0.18294955339803473	0.6301595728154529	False
RAD51C	TD	gain	2	16	12	140	1.4583333333333333	0.646220280352961	1.0	False
RAD51C	TD	loss	6	12	43	109	1.2674418604651163	0.7835300156630967	1.0	False
GAPDH	TD	gain	5	13	46	106	0.8862876254180602	0.9999999999998934	1.0	False
GAPDH	TD	loss	1	17	10	142	0.8352941176470589	1.0	1.0	False
XRCC2	TD	gain	6	12	37	115	1.554054054054054	0.4004932764105815	0.9018992936015257	False
XRCC2	TD	loss	1	17	14	138	0.5798319327731093	1.0	1.0	False
SLX4	TD	gain	0	18	1	151	0.0	0.9999999999999818	1.0	False
SLX4	TD	loss	9	9	56	96	1.7142857142857142	0.31100047713032136	0.8082776951555076	False
BRCA1	TD	gain	0	18	2	150	0.0	0.9999999999999712	1.0	False
BRCA1	TD	loss	13	5	65	87	3.48	0.023573117138355158	0.1948711016770693	False
FANCE	TD	gain	2	16	33	119	0.45075757575757575	0.37186644190596546	0.8867584383911484	False
FANCE	TD	loss	4	14	15	137	2.6095238095238096	0.12239246345052612	0.58514980709911	False
CCNE1	TD	gain	5	13	35	117	1.2857142857142858	0.768868742426202	1.0	False
CCNE1	TD	loss	0	18	4	148	0.0	0.9999999999999105	1.0	False
FANCD2	TD	gain	0	18	6	146	0.0	1.0	1.0	False
FANCD2	TD	loss	2	16	25	127	0.635	0.7413618289307361	1.0	False
FANCM	TD	gain	0	18	8	144	0.0	1.0	1.0	False
FANCM	TD	loss	2	16	20	132	0.825	0.9999999999999598	1.0	False
FANCI	TD	gain	2	16	23	129	0.7010869565217391	0.9999999999999339	1.0	False
FANCI	TD	loss	5	13	35	117	1.2857142857142858	0.768868742426202	1.0	False
